step,3915-choose-best,3915-choose-first,6058-choose-best,6058-choose-first,7494-choose-best,7494-choose-first,time-3915-choose-best,time-3915-choose-first,time-6058-choose-best,time-6058-choose-first,time-7494-choose-best,time-7494-choose-first
126,0.45753,0.0726275,0.451003,0.0620104,0.43378,0.060243,,,,,,
127,0.458853,0.0730386,0.45367,0.0620111,0.435742,0.0609077,,,,,,
128,0.460537,0.0735374,0.455173,0.0639678,0.437149,0.0609532,,,,,,
129,0.461847,0.0735386,0.456647,0.0646853,0.43858,0.0609545,,,,,,
130,0.463157,0.0735399,0.459026,0.0646872,0.44077,0.0610961,,,,,,
131,0.46447,0.0782032,0.460495,0.0648866,0.44216,0.0614247,,,,,,
132,0.465777,0.0782086,0.461962,0.0648871,0.443529,0.0638522,,,,,,
133,0.467081,0.0785295,0.4634,0.0650786,0.444876,0.0638721,,,,,,
134,0.468382,0.0785415,0.465216,0.0650791,0.446215,0.0638771,,,,,,
135,0.470615,0.0801458,0.466653,0.0652487,0.447912,0.0650506,,,,,,
136,0.471816,0.0810005,0.468062,0.0652507,0.449278,0.0651912,,,,,,
137,0.472942,0.0814216,0.469467,0.06545,0.450611,0.0651922,,,,,,
138,0.474068,0.0821216,0.47163,0.0668699,0.451938,0.0654031,,,,,,
139,0.475193,0.082294,0.473035,0.0668781,0.453473,0.065786,,,,,,
140,0.476318,0.0824384,0.475142,0.0696195,0.454815,0.0657898,,,,,,
141,0.477443,0.0829087,0.476545,0.0703913,0.456147,0.0657908,,,,,,
142,0.478567,0.0833125,0.478882,0.0703941,0.457463,0.0657917,,,,,,
143,0.480251,0.0836406,0.480268,0.0709204,0.458753,0.065852,,,,,,
144,0.481374,0.0837552,0.481635,0.0711402,0.460028,0.0691131,,,,,,
145,0.482497,0.0857443,0.483162,0.0713169,0.461252,0.0691142,,,,,,
146,0.48362,0.0859586,0.484517,0.0713175,0.462436,0.0693336,,,,,,
147,0.484743,0.0862146,0.48587,0.071481,0.463594,0.0695598,,,,,,
148,0.485866,0.08647,0.487203,0.0720954,0.464746,0.0695609,,,,,,
149,0.486989,0.0880322,0.488534,0.0720961,0.465887,0.069715,,,,,,
150,0.488486,0.0922933,0.490219,0.0722936,0.467026,0.070141,,,,,,
151,0.489609,0.0928273,0.491556,0.0722942,0.468153,0.0705998,,,,,,
152,0.490732,0.0951788,0.493033,0.0723625,0.469278,0.0720677,,,,,,
153,0.491852,0.09518,0.494348,0.0723632,0.470399,0.072695,,,,,,
154,0.492971,0.0964846,0.495653,0.0768176,0.471518,0.0749008,,,,,,
155,0.494516,0.0969272,0.496907,0.084887,0.472637,0.0817786,,,,,,
156,0.495693,0.096946,0.498103,0.0848949,0.473754,0.0822506,,,,,,
157,0.496741,0.0971145,0.499274,0.0850679,0.474871,0.0839262,,,,,,
158,0.498247,0.0971157,0.500426,0.0850688,0.475979,0.0842171,,,,,,
159,0.500264,0.0971207,0.501568,0.0857178,0.477095,0.0844178,,,,,,
160,0.502967,0.0971813,0.502714,0.0857631,0.478202,0.0845914,,,,,,
161,0.503966,0.0975999,0.503856,0.0867287,0.479294,0.0847862,,,,,,
162,0.504937,0.0984958,0.504984,0.0883276,0.480379,0.0965061,,,,,,
163,0.505902,0.098497,0.5061,0.0886003,0.481491,0.0966027,,,,,,
164,0.506867,0.100225,0.507213,0.0913409,0.482599,0.0987761,,,,,,
165,0.507832,0.101816,0.508306,0.0913704,0.48368,0.0987937,,,,,,
166,0.50879,0.101992,0.50939,0.0918425,0.484649,0.0994513,,,,,,
167,0.509737,0.102197,0.510459,0.0918457,0.485604,0.100598,,,,,,
168,0.510683,0.102394,0.511543,0.0918529,0.486555,0.103645,,,,,,
169,0.511604,0.102542,0.512718,0.0918814,0.487875,0.103648,,,,,,
